query,dish_name
Bowl Rice Chicken Bhuna,Bhuna Chicken Rice Bowl
corn cheese burger + veg pizza mcpuff,Corn & Cheese Burger + Veg Pizza McPuff
2 iced,2 Iced Coffee
coffee,Cold Coffee
kuch spiced chahiye,Spiced Paneer
want to try everyday,Mom Style Aloo Matar - Everyday Thali
something cheese,Mexican Corn & Cheese Burger
Tikka Peri Peri Chicken,Chicken Peri Peri Tikka
'n cream ice cream,Pralines 'N Cream Ice Cream
butterscotch spicy,Hop Scotch Butterscotch Ice Cream (Tub)
chicken banao,Chicken Burger Buddy Meal
classic,Classic Chicken Pepperoni & Onion
chicken pizza - meduim,Chicken Pepperoni Pizza - Medium
matar dinner,Mushroom matar
red onion food,Red Rice
Paneer Masala - Everyday Thali,Paneer Masala - Everyday Thali
something lke cold,Cold Chocolate
poornalu wala,Poornalu
cream ice cotton,Cotton Candy Ice Cream
caramel spicy,Salted Caramel & Biscuit Crepe
spicy nenthran,Coconut Rice With Nenthran Moilee (vegan / Gluten Free)
kuch frappuccino chahiye,Espresso Frappuccino
want to try veggie,Fresh Veggie Cheese Burst
classic banao,Classic
capsicum & red with videshi hot sauce,Capsicum & Red Paprika with Videshi Hot Sauce
Burst Cheese Margherita,Margherita Cheese Burst
vegetarian brown,Brown Rice
cream ice kulfi fruit,Dry Fruit Kulfi Ice Cream
teekha chakali,Chakali
meetha vanilla,Vanilla Ice Cream
thali,Palak Paneer - Feast Thali
dominos classics,Chicken Sausage Pizza
kesar fruit lassi [200 ml],Kesar Dry Fruit Lassi [200 ml]
6pc wings chicken spicy,Spicy Baked Chicken Wings 6pc
bowl rice lababdar chicken,Chicken Lababdar Rice Bowl (Protein-34g)
Ale Ginger Homemade,Homemade Ginger Ale
4 Pcs Chicken Nuggets,4 Pcs Chicken Nuggets
egg like something,Egg Curry
Peri Peri Chicken Strips - 3 pc,Peri Peri Chicken Strips - 3 pc
cheese fiesta chicken,Chicken Fiesta Cheese Burst
non veg alu,Alu Pitika
want to try punjabi,Punjabi Kadhi Pakoda [Masala Rice] Bowl
nh1,NH1 Chicken Tikka Masala [Paratha] Bowl
mutter,Kaju Mutter
something like water,Water
want to try chocolate,Mint Milk Chocolate Chips Ice Cream (Tub)
onion & capsicum with desi makhani sauce,"Paneer, Onion & Capsicum with Desi Makhani Sauce"
(tub) cream ice candy,Cotton Candy Ice Cream (Tub)
butter + iced coffee,Butter Croissant + Iced Coffee
Caramel Biscuit Ice Cream Rocks,Caramel Biscuit Ice Cream Rocks
leg something,5 Leg Pc & Pepsi Bottle Combo
cream.(small ice coconut tender,Tender Coconut Ice Cream.(small Scoop)
chicken like something,Singh Da Saag Chicken Masala Rice Bowl
something like capsicum,Paneer & Capsicum with Videshi Hot Sauce
bowl rice mutton,Mutton Bhuna Rice Bowl
goodness like something,Veggie Goodness Sandwich [14g Protein]
sutar mithai,Sutar feni
surnoli veg,Surnoli
chicken wala,Spicy Baked Chicken Wings 6pc
meetha patlu,Motu Patlu Kids Pizza Big Party Combo (Pack of 10)
spicy chicken,Shahi Chicken - Light Meal
[mmultigrain],Chicken Pepperoni Pizza [Multigrain]
chicken with something,Chicken razala
Burger Combo for 2: McVeggie Burger,Burger Combo for 2: McVeggie Burger
(jain) Pulao Saffron,Saffron Pulao (jain)
hyderabadi wala,Hyderabadi Paneer Tikka Biryani Bowl
craver chicken spicy,Spicy Chicken Craver (10cm)
dominator wala,Dominator Party for 2 (Non-Veg) @Rs. 140 off
chicken wala,Creamy Chicken Tikka Rice Bowl
chicken like something,Chicken Chilli Garlic Fried Rice Bowl.
masaledar baati,Daal baati churma
pepsi,Pepsi Black Can 300 ml
dip,Extra Sweet Chilli Dip
Ale Ginger Home-made,Home-made Ginger Ale
flavoured shake+ fries (m),Chocolate Flavoured Shake+ Fries (M)
modak like something,Modak
veg,Veg Kolhapuri
sauce something,Barbeque Sauce
4 chicken wings + 2 mcspicy fried chicken + 2 coke 2 dips,4 Chicken Wings + 2 McSpicy Fried Chicken + 2 Coke + 2 Dips
kachori wala,Lilva Kachori
kalimiri something,Grilled Chicken Kalimiri
(tub) cream nutella naughty,Naughty Nutella Ice Cream (Tub)
Bacon Cheese Gaarlic Bread,Bacon Cheese Garlic Bread
Gulab Jamun Box (Pack of 10),Gulab Jamun Box (Pack of 10)
virgin spicy,Virgin Pina Colada
protein something,McAloo Tikki Burger Protein Plus (2 Slices)
kuch (mushroom chahiye,Olivia (Mushroom & Feta Sandwich)
biryani banao,Mutton Kheema Biryani Bowl
something pizza,Pepperoni Bacon Pie Pizza
spicy croissant,Butter Croissant
dip mayo,Extra Mayo Dip
tikki mcsaver new,New McSaver McAloo Tikki
rice brown,Brown Jeera Rice
ledikeni spicy,Ledikeni
royal try karna hai,Royal 4in1 Chef's Special Chicken Pizza
kuch currant chahiye,Black Currant Ice Cream (Tub)
sausage wala,Sausage & Sweet Corn.
kuch strawberry chahiye,Very Berry Strawberry Ice Cream  (Family Prepack 700ml)
something panneer,McSpicy Paneer Burger Protein Plus (2 Slices)
Chicken Kingdom Pizza [Multigrain],Chicken Kingdom Pizza [Multigrain]
boneless chicken - peri peri,Saucy Boneless Chicken - Peri Peri
bun with burger mcveggie,McVeggie Burger with Multi-Millet Bun
dinner varuval,Chicken Varuval
chicken firangi,Firangi BBQ Chicken
food style west,Bajri no rotlo
chicken spicy,Korean Mc Spicy Chicken Burger Combo (M)
course main light,Thayir sadam
spicy beverage,Mixed Fruit Beverage
(10cm) craver chicken,Spicy Chicken Craver (10cm)
sausage with egg mcmuffin 3 pc,Sausage with Egg McMuffin 3 Pc Meal
kuch raseela chahiye,Mutter Poori With Aloo Raseela ( No Onion / Garlic )
Chips Banana,Banana Chips
curry something,Egg Curry and Rajma Meal
chicken sausage,Chicken Sausage Pizza
farmhouse wala,Farmhouse Pizza
kuch chocolate chahiye,Death by Chocolate Cake Jar
something bold,Bold BBQ Veggie Thin n Crispy
the,The Hellboy Pizza
kalimiri banao,Grilled Chicken Kalimiri
classic zinger combo,Classic Zinger Mojito Combo
want to try surprise,New McSaver Chicken Surprise
meetha pizza,Pizza Party for 4 (Veg) @Rs. 180 Off
Duo Of Black Rice & Red Rice Dosa ( Gluten Free ),Duo Of Black Rice & Red Rice Dosa ( Gluten Free )
puri Daal,Daal puri
Papad,Papad
goodness something,Veggie Goodness Sandwich [14g Protein]
mcsaver something,McSaver Korean Mc Aloo Tikki Burger.
smoy grilled chicken - 5 pc,Smoky Red Grilled Chicken - 5 pc
chicken burger premium mcspicy,McSpicy Premium Burger Chicken Combo
meetha kachori,Kachori
tandoori fish,Tandoori Fish Tikka
kuch lava chahiye,Red Velvet Lava Cake
(boneless) bowl chicken,Chicken Biryani Bowl (Boneless)
kuch korean chahiye,Korean Spice Mix
masala green,Green Peas Masala
mutton spicy,Mutton Rogan Josh
spinach & ricotta ravioli (7,Spinach & Ricotta Ravioli (7 pieces)
Florentine Mushroom In Spaghetti,Spaghetti In Mushroom Florentine
frappuccino like something,Vanilla Cream Frappuccino
something like luchi,Luchi
dips fries spiced cajun,Cajun Spiced Fries with Dips
mutter poori with aloo raseela ( onion / garlic ),Mutter Poori With Aloo Raseela ( No Onion / Garlic )
strawberry something,Banana 'N Strawberry Ice Cream (Tub)
currivepillai wala,Currivepillai sadam
something like chawal,Dal Chawal
want to try dhaba,A1 Dhaba Palak Paneer Paratha Bowl
pana,Aam Panna
something sesame,Sesame Lotus Stem Pizza
garlic chicken pizza (reg),Garlic Chicken Burst Pizza (Reg)
pc feast chicken bucket,12 Pc Feast Chicken Bucket
grilled cheese and burger combo,Grilled Cheese and Chicken Burger Combo
Take a break Combo,Take a break Combo
spicy ketchup,Tomato Ketchup
mcspicy spicy,4 McSpicy Fried Chicken Bucket + 2 Dips + 2 Coke
something mcchicken,McChicken Burger + Fries (L)
[steamed spicy,Punjabi Dum Aloo [Steamed Rice] Bowl
want to try buttermilk,Skimmed Mint Buttermilk
spicy classic,Classic Veggie Craver (10cm)
paneer curry - light mael,Sunday Paneer Curry - Light Meal
meetha mcaloo,McAloo Tikki Burger NONG.
want to try bhatura,Bhatura
spaghetti,Spaghetti Aglio E Olio
pind di dal makhani [steamed bowl,Pind di Dal Makhani [Steamed Rice] Bowl
spicy paneer,Paneer tikka masala
Mania Pizza Classic,Classic Pizza Mania
spicy velvet,Rich Red Velvet Pastry
tea,Choco Crunch Cookie + McAloo Tikki Burger + Lemon Ice Tea
kuch jalapeno chahiye,Korean Corn & Jalapeno Garlic Bread
something like rice,Cauliflower Rice
tangy roll & zinger chicken meal,Korean Tangy Roll & Zinger Chicken Meal
something like chicken,Chicken Platter for 2-Cream & Onion Dip
ice tea - apple flavour,Ice Tea - Green Apple flavour
crunch cookie + mcaloo tikki burger,Choco Crunch Cookie + McAloo Tikki Burger
spicy chicken,Chicken Keema Melt
chicken garlic bread,Chicken Tikka Garlic Bread
veg ladoo,Churma Ladoo
(10cm) like something,Classic Veggie Craver (10cm)
spicy mcchicken,Mc Crispy Chicken Burger + McChicken Burger + Fries (M).
burger something,Korean Mc Aloo Tikki Burger Combo (M)
blueberry kombucha,Blueberry Lemonade Kombucha
bhakri vegetarian,Bhakri
dosa vegetarian,Masala Dosa
pedha Dharwad,Dharwad pedha
mutton biryani bowl,Mutton Kheema Biryani Bowl
coke try karna hai,Coke zero can
Cream. Ice Mango Alphonso,Alphonso Mango Ice Cream.
bucket chicken - big,Big 8 - Chicken Bucket
want to try chocochip,Chocochip Muffin
spicy croissant,Butter Croissant [1 Piece]
kuch accha sa,Kara Kozhukattai (2 Pcs)
blueberry spicy,Blueberry 'N White Chocolate Ice Cream (Small Scoop)
yellow wala,Yellow Dal Tadka
kuch lemonade chahiye,Masala Lemonade
something mcchicken,McChicken Burger + Veg Pizza McPuff
chicken banao,Singh Da Saag Chicken Paratha Bowl
meetha popcorn,Zinger Pro Burger & Popcorn Meal
kuch garlic chahiye,Classic Stuffed Garlic Bread
Coke (250 mL),Coke (250 mL)
chicken try karna hai,Rice & Chicken Popcorn Delight Meal
2 fudge sundae,2 Hot Fudge Sundae
punjab dish,Chicken Tikka
coke banao,Coke Can (6 Nos)
shahi - feast thli,Shahi Paneer - Feast Thali
do pyaza cheese burst,Achari Do Pyaza Cheese Burst
chicken spicy,Chicken Platter for 4-Peri Peri Dip
a1 dhaba palak masala rice bowl,A1 Dhaba Palak Paneer Masala Rice Bowl
paneer dhaba masala bowl,Paneer Dhaba Masala Rice Bowl
ml) soda lemon,Lemon Soda (250 mL)
veg rice bowls [steamed rice],Delhi-6 Rajma [Steamed Rice] Bowl
masala wala,NH1 Special Aloo Palak Masala Rice Bowl
gt road paneer mughlai [steamed bowl,GT Road Paneer Mughlai [Steamed Rice] Bowl
desserrt pantua,Pantua
bowl rice chicken,Chicken Lababdar Rice Bowl
mccheese try karna hai,McCheese Burger Veg Combo with Corn
paratha spicy,Paratha Chole Meal
kachori spicy,Lilva Kachori
kuch vanilla chahiye,Vanilla Ice Cream.
hunan,Hunan Paneer Dry - Mini
smoky grilled chicken - 1 pc,Smoky Red Grilled Chicken - 1 pc
curry masala veg,Veg Mix Masala Curry
veg pongal,Pongal
rice (jain),Jeera Rice (jain)
spicy townhall's,Townhall's Kadhai Paneer [Paratha] Bowl
edition - regular fries,Gold Edition - Regular Fries
vegetarian spicy,Uttapam
bold veggies,Bold BBQ Veggies
5 course: triple chicken rice meal with chicken wings,5 Course: Triple Chicken Garlic Rice Meal with Chicken Wings
tandoori try karna hai,Chicken Tandoori Biryani+ Dessert+ 2 Mini Samos...
tandoori something,Tandoori Loaded Chicken Taco
Grilled Wings Signature Garlic,Grilled Wings Signature Garlic
Alphonso Mango Ice Cream (Regular Scoop),Alphonso Mango Ice Cream (Regular Scoop)
want to try tandoori,Tandoori Loaded Chicken Parcel
korean,Korean Spice Mix
appam wala,Unni Appam
four cheese chicken pizza,Four Cheese Forest Chicken Pizza
spicy omelette,Chicken Kofta Rice Bowl with Omelette
meal zinger veg still,Still Awake Veg Zinger Meal
salted try karna hai,Salted Caramel & Espresso
bucket french & chicken,Chicken & French Fries Bucket
tandoori wala,Chicken Zinger Burger - Tandoori
pesto,Pesto & Paneer Supreme Bowl [55g - High Protein]
chicken banao,Motu Patlu Kids Herbed Chicken Pizza Party
combo,McChicken Double Patty Burger Combo
want to try rice,Butter Paneer Masala Ghee Rice Bowl
want to try dhuadhaar,Dhuadhaar Chicken Wings [6 Pcs]
spinach ricotta ravioli (7 pieces),Spinach & Ricotta Ravioli (7 pieces)
chingri veg non,Chingri Bhape
something like jalapeno,Jalapeno Pepper Dip
kuch chicken chahiye,Garlic Pepper Chicken Wings [6 Pcs]
kuch sundae chahiye,2 Hot Fudge Sundae
vadi veg,Coconut vadi
large like something,French Fries - Large
danish try karna hai,Blueberry Danish [1 Piece]
coffee something,2 Iced Coffee
spicy mexican,Mexican Green Wave Cheese Burst
zucchini zoodles and plant based kofta bowl ( / high protein ),Zucchini Zoodles And Plant Based Kofta Bowl ( Vegan / High Protein )
amritsari [steamed rice] bowl,Amritsari Chole [Steamed Rice] Bowl
kos veg,Kos kootu
chicken wala,Big 8 - Chicken Bucket
strawberry wala,Banana 'N Strawberry  Ice Cream (Regular Scoop)
pcs) (5 kebab chicken,Chicken Meatball Kebab (5 Pcs)
gunpowder wala,Gunpowder Ghee Rice Bowl
chicken like something,Saag Wala Chicken - Feast Thali
bowl tikka paneer,Paneer Tikka Biryani Bowl
gatta spicy,Gatta curry
makhani like something,Dal Makhani - Feast Thali
keerai,Keerai sadam
big like something,Big Big 6in1 Pizza - Veg
combo,Grilled Cheese and Chicken Burger Combo
spinach spicy,Spinach & Ricotta Ravioli (7 pieces)
kuch velvet chahiye,Red Velvet Lava Cake
spicy chilli,Extra Sweet Chilli Dip
vanilla ice cream (family,Vanilla Ice Cream (Family Prepack)
sadam veg,Currivepillai sadam
veg noodles - half (500 ml).,Veg Schezwan Noodles - Half (500 ml).
spicy hyderabadi,Hyderabadi Tandoori Tangdi Biryani Bowl
motu kids cheesy corn pizza party,Motu Patlu Kids Cheesy Corn Pizza Party
townhall's try karna hai,Townhall's Kadhai Paneer [Paratha] Bowl
tandoori spicy,Tandoori Chicken
bowl rice paneer,Palak Paneer Rice Bowl
pcs) tikki chicken,Chicken Tikki (5 pcs)
main course rice,Red Rice
Good'ol Butter Chicken Rice Bowl,Good'ol Butter Chicken Rice Bowl
bowl aloo dum punjabi,Punjabi Dum Aloo [Paratha] Bowl
royal 4in1 chef's special chicken,Royal 4in1 Chef's Special Chicken Pizza
want to try tandoori,Tandoori Chicken Burst Pizza (Med)
malai prawn,Prawn malai curry
something coolberg,Coolberg Non Alcoholic Beer -Mint (330 Ml)
tandoori spicy,Tandoori Paneer
veg dalithoy,Dalithoy
mango & cream (tub),Mango & Cream Gelato (Tub)
kuch kumol chahiye,Kumol Sawul
rotlo veg,Bajri no rotlo
idea dessert,Petha
spicy biryani,Chef's Special Paneer Biryani Thali
veg appam,Unni Appam
meetha mcspicy,1 McSpicy Fried Chk + 1 Crispy Fried Chk + 4 Wings + 2 Coke + 2 Dips
veg mcmuffin 3 pc,Veg McMuffin 3 Pc Meal
pyaza,Mushroom do pyaza
tangdi chicen bowl,Tangdi Chicken Biryani Bowl
gold edition - chicken burger & fries,Gold Edition - Chicken Zinger Burger & Fries
2 crispy fried chicken + 2 mcspicy fried chicken + dips + 2 coke,2 Crispy Fried Chicken + 2 McSpicy Fried Chicken + 2 Dips + 2 Coke
paneer tikka masala mini rice,Paneer Tikka Masala Mini Rice Bowl
tandoori pasta,Tandoori Paneer Pasta
(m),Crispy Veggie Burger + McVeggie Burger + Fries (M)
Mexican Cheesy,Cheesy Mexican
spicy chicken,Singh Da Saag Chicken Steamed Rice Bowl
pepper barbecue chicken cheese,Pepper Barbecue Chicken Cheese Burst
2 pc mcspicy chicken,2 Pc McSpicy Fried Chicken
sweet dessert,Sohan halwa
bihar dsh,Litti chokha
4 mcspicy fried chicken bucket + 2 + 2 coke,4 McSpicy Fried Chicken Bucket + 2 Dips + 2 Coke
burger combo for 2: burger,Burger Combo for 2: McVeggie Burger
bread garlic fiery,Fiery Pepperoni Garlic Bread
theeyal dinner,Theeyal
cheese spicy,Fries with Cheese Dip
cheese,Cheese Volcano Farmhouse
butter something,Panneer Butter Masala
Extra Schezwan Dip,Extra Schezwan Dip
something mcspicy,4 Pc McSpicy Fried Chicken Bucket
kuch mozzarella chahiye,Peri-Peri Chicken & Mozzarella Wrap
kadai like something,Kadai Paneer Pizza
kuch tandoori chahiye,Tandoori Tangdi (3Pcs)
something mcveggie,Burger Combo for 2: Corn & Cheese + McVeggie
meetha (regular,Lotus Biscoff Ice Cream (Regular Scoop)
want to try boneless,Saucy Boneless Chicken - Peri Peri
watermelon,Watermelon & Feta Salad
spicy zinger & popcorn meal,Midnight Spicy Zinger & Popcorn Meal
Chocolate  Shake,Chocolate  Shake
nachos try karna hai,Nachos + Coke Combo @ Rs.49
mcchicken banao,McChicken Burger Combo
doi veg,Cheera Doi
(boneless) spicy,Fried Chicken Kebab (Boneless)
meetha comfort,Cosy Comfort White Sauce Chicken Pasta
veggie burger + mcveggie burger + fries (m),Crispy Veggie Burger + McVeggie Burger + Fries (M)
spicy nizami,Nizami Kheer
dilliwala something,Dilliwala Paneer Makhani [Paratha] Bowl
portein],Tandoori Grilled Chicken Tikka [65g Protein]
chicken spicy,Black Pepper Chicken Bowl
dessert basundi,Basundi
meetha tandoori,Tandoori Chicken Wings [6 Pcs]
something like cicken,Meal for 2: Pepper BBQ Chicken & Spiced Double Chicken
achari,Achari Do Pyaza Cheese Burst
meetha mcspicy,3 Pc McSpicy Fried Chicken Bucket + 1 Coke
birthday wala,Birthday Party Package - McVeggie
meetha ghooghra,Ghooghra
kuch sipper- chahiye,Coromandel Sipper- 500 Ml
moong dal khichdi beans poriyal + curd + pickle + salad,Moong Dal Khichdi + Beans Poriyal + Curd + Pickle + Salad
spicy mcaloo,McAloo Tikki Burger Combo
mcaloo tikki burger plus+ corn + coke zero,McAloo Tikki Burger Protein Plus+ Corn + Coke Zero
want to try comfort,Cosy Comfort White Sauce Chicken Pasta
vegetarian dessert,Pantua
aloo - feast thali,Aloo Palak - Feast Thali
mcveggie burger protein plus (1,McVeggie Burger Protein Plus (1 Slice)
Margherita,Margherita
something evolved,Evolved Plant Kebab Pizza (vegan)
til dessert,Til Pitha
three cheers chocolate ice cream (regular,Three Cheers Chocolate Ice Cream (Regular Scoop)
alphonsos spicy,B Natural Alphonsos from Ratnagiri (300 ml)
main course idea,Pachadi
kuch (large) chahiye,Fries (Large)
chicken spicy,Chicken Mingles Bucket Meal
500ml travel nilgiri,Nilgiri Travel Tumbler- 500ml
cappuccino spicy,Iced Cappuccino
want to try cheesy,Cheesy Mania Corn Pizza Box
McAloo Tikkki Burger with Multi-Millet Bun,McAloo Tikki Burger with Multi-Millet Bun
Farmhouse Volcano Cheese,Cheese Volcano Farmhouse
double patty burger combo,McChicken Double Patty Burger Combo
meetha mcaloo,McAloo Tikki Double Patty Burger
green wave pizza,Mexican Green Wave Pizza
special party for 2 (veg) 105 off,Special Party for 2 (Veg) @Rs. 105 off
Bowl Rice Pappu,Pappu Rice Bowl
want to try dominator,Dominator Party for 4 (Non-Veg) @Rs. 300 off
sauce,Mustard Sauce
blueberry something,Blueberry Lemonade Kombucha
puttu lunch,Puttu
"pesto & mushroom keto salad [284 kcal, low","Pesto & Mushroom Keto Salad [284 Kcal, Low Calo..."
& red paprika with videshi hot sauce,Capsicum & Red Paprika with Videshi Hot Sauce
korean spicy premium chicken burger combo (m).,Korean Mc Spicy Premium Chicken Burger Combo (M).
dessert doi,Cheera Doi
meetha cheese,Corn & cheese Burger Combo
naan wala,Naan
Indian Spicy Veg Roll,Indian Spicy Veg Roll
spicy everydya,Paneer Masala - Everyday Thali
kuch peach chahiye,Peach Iced Tea
Chocoholic Cake [500g],Chocoholic Cake [500g]
chicken like something,Chicken Tikka Garlic Bread
lunch box - herbed chicken pasta,Lunch Box - Herbed Chicken Pesto Pasta
fried chicken & wings,12 Pc Feast Chicken Bucket
korean shake fries (m).,Korean Shake Shake Fries (M).
paneer try karna hai,Paneer butter masala
something like gatta,Gatta curry
drinks & desserts,Ghee Moong Dal Halwa 100 gm
original glazed,Original Glazed Doughnut
coffee regular wih hazelnut,Classic Coffee Regular with Hazelnut
meetha starter,Any 2 Rice Bowls + Any Starter [FREE Coke & Cho...
feast,Country Feast
cooler wala,Mint Lime Cooler
tandoori spicy,Indian Tandoori Chicken Roll
latte coffee,Latte Coffee (R)
multi-millet wala,McSpicy Paneer Burger with Multi-Millet Bun
meetha arrabiatta,Paneer Loaded Arrabiatta Pasta
ppesi reusable bottle,Pepsi Reusable Bottle
chocolate,Sourdough Clouds with Warm Dipping Chocolate
kuch evolved chahiye,Evolved Burger Slider
kuch mccheese chahiye,McCheese Burger Veg Combo with Corn
kuch kadai chahiye,Kadai Paneer Pizza
ghee,Ghee Gulab Jamun (4 Pcs)
"paneer,","Paneer, Onion & Capsicum with Desi Makhani Sauce"
masaledar masala,Paneer tikka masala
each,2 Bowls @ 99 each
black palm latte,Black Palm Jaggery Latte
tikki mexican mcsaver new,New McSaver Mexican McAloo Tikki
veg try karna hai,Veg Shammi Sandwich
Bowl Paneer Hunan,Hunan Paneer Bowl
shawarma chicken burst (med),Shawarma Chicken Burst Pizza (Med)
rgeular,Berry Lemonade Regular
kuch currant chahiye,Black Currant Ice Cream
spicy breadsticks,Garlic Breadsticks + Cheesy Dip
millet dal khichdi - healthy,Millet Dal Khichdi Meal - Healthy
paneer banao,A1 Dhaba Palak Paneer Masala Rice Bowl
grilled chicken cheese burger + veg pizza mcpuff,Grilled Chicken & Cheese Burger + Veg Pizza McPuff
wheat,Wheat Bread Loaf [400g]
mcchicken protein plus (2 slices),McChicken Protein Burger Plus (2 Slices)
something combo,Mini Bowl Meal Combo (Veg)
skimmed mint,Skimmed Mint Buttermilk
kuch paneer chahiye,Paneer Tikka Whole Bowl [55g Protein]
very strawberry ice cream.(small scoop),Very Berry Strawberry Ice Cream.(small Scoop)
veg puttu,Puttu
choco crunch cookie + tikki burger,Choco Crunch Cookie + McAloo Tikki Burger
surprise mcsaver new,New McSaver Chicken Surprise
(m) mcflurry forest black,Black Forest Mcflurry (M) BOGO
meetha boneless,Saucy Boneless Chicken - Peri Peri
fries cheese dip,Fries with Cheese Dip
paneer - light meal,Paneer Masala - Light Meal
tikka sandwich,Paneer Tikka Sandwich
group sharing combos,2 Crispy Veggie Burger  + 2 Fries (M) + Veg Pizza McPuff
want to try sprite,Sprite
dessert halvasan,Halvasan
spicy 300ml,Diet Coke - 300ml Can
chocolate banao,Chocolate Almond Praline Ice Cream (Small Scoop)
Hashbrown + Coold Coffee,Hashbrown + Cold Coffee
krisper like something,2 Classic Chicken Krisper Burgers
coolberg non alcoholic -malt (330 ml),Coolberg Non Alcoholic Beer -Malt (330 Ml)
spicy mihidana,Mihidana
margherita banao,Meal for 4: Margherita & Peppy Paneer
- dry paneer hunan,Hunan Paneer Dry - Full
bati sweet,Mawa Bati
pepper lemon grilled,Grilled Wings Lemon Pepper
chicken tandoori biryani+ dessert+ 2 samos...,Chicken Tandoori Biryani+ Dessert+ 2 Mini Samos...
something dip,Rich Garlic Dip
want to try chicken,Double Chicken Roll
onion meal: course 5,5 Course Meal: Onion Pizza
chholar banao,Mishti Chholar Dal
southern like something,Grilled wings Southern Spice
manchurian bowl,Chicken Manchurian Bowl
zinger spicy,Zinger Pro Burger
something like noodles,Crispy Noodles
spicy mexican,Mexican Corn & Cheese Burger
bowl,Egg Biryani Bowl
cauliflower,Cauliflower Rice
The 5 Chicken Feast Pizza,The 5 Chicken Feast Pizza
want to try half,Veg Chinese Fried Rice - Half (500 ml).
spicy spanish,Spanish Style Iced Coffee
Rice Steamed,Steamed Rice
spicy paratha,Mixed Veg Paratha (2 pcs) with Curd and Pickle
mc crispy chicken burger + mcspicy wings - 2 pc + coke (m),Mc Crispy Chicken Burger + McSpicy Chicken Wings - 2 pc + Coke (M)
burst cheese corn cheese,Cheese n Corn Cheese Burst
kootu vegetarian,Kootu
cuisine indian east,Sandesh
pesto chicken & cheese [35g protein],Pesto Chicken & Cheese Sandwich [35g Protein]
protein] something,Chicken Peppy Salad [40g Protein]
sweet dessert,Laddu
peeri,Peri Peri Chicken Tikka
kuch katli chahiye,Kaju katli
meetha watermelon,Fresh Watermelon & Mint Juice
chicken something,Chicken Tikka Rice Bowl
hummus wala,Hummus & Pita with Olives
doublet banao,Choco Fudge Doublet Bar (65ml)
kunafa spicy,Choco Kunafa Pastry
meetha masiyal,Keerai masiyal
kuch chocolate chahiye,Chocolate Almond Praline Ice Cream (Tub)
kuch crispy chahiye,Crispy Veggie Burger + McAloo Tikki
wraps & burgers,Mexican Grilled Chicken & Cheese Burger
-strawberry banao,Coolberg Non Alcoholic Beer -Strawberry (330 Ml)
roasted spicy,Roasted Coffee Creme Ice Cream (Tub)
8 mcspicy chicken wings + 2 coke + 1 dip,8 McSpicy Chicken Wings Bucket + 2 Coke + 1 Dip
spicy homestyle,Homestyle Yellow Dal - Light Meal
kuch (protein-29g) chahiye,Mughlai Chicken Kofta Rice Bowl with Omelette (Protein-29g)
chicken pepper andhra,Andhra Pepper Chicken Boneless
nh1,NH1 Dhaba Egg Curry [Paratha] Bowl
chicken,Chicken Pepperoni Pizza - Medium
paratha spicy,NH1 Special Aloo Palak Paratha Bowl
meetha crunch,Honey Nut Crunch Ice Cream (Tub)
coffee spicy,Mocha Coffee (S)
chicken boneless,Juicy Boneless Chicken
corn and cheese burger + ckoe (m).,Mexican Corn and Cheese Burger + Coke (M).
veg vada,Vada
McAloo Tikki Brger Protein Plus (1 Slice),McAloo Tikki Burger Protein Plus (1 Slice)
chicken like something,Double Chicken Roll
ghee dal khhichdi thali,Ghee Tadka Dal Khichdi Thali
vanilla ice cream (regular,Vanilla Ice Cream (Regular Scoop)
mcveggie burger + fries + piri piri mix,McVeggie Burger + Fries (M) + Piri Piri Mix
chocolate try karna hai,Dutch Chocolate Ice Cream
punjabi spicy,Punjabi Chole and Aloo Tamatar Meal
2) meals veg andhra,Andhra Veg Meals (For 2)
want to try farmhouse,Meal for 2: Veg Paradise & Farmhouse
something like mcmuffin,Sausage with Egg McMuffin 3 Pc Meal
mcchicken burger protein plus + 4 chicken nuggets + coke zero,McChicken Burger Protein Plus + 4 Pc Chicken Nuggets + Coke Zero
chicken pepperoni cheese garlic bread,Italian Chicken Pepperoni Cheese Garlic Bread
bucket,Chicken Lover's Bucket
ntive table special's,Crispy Kulcha With Black Channa Masala
something large,French Fries - Large
dinner chingri,Chingri Bhape
crepe dark,Dark Chocolate Crepe
chicken wala,Chicken & French Fries Bucket
). ( oreo mcflurry,Mcflurry Oreo ( S ).
pachadi dinner,Pachadi
biryani something,Hyderabadi Tandoori Tangdi Biryani Bowl
honey nut ice cream (small scoop),Honey Nut Crunch Ice Cream (Small Scoop)
paneer stuffed garlic bread,Paneer Tikka Stuffed Garlic Bread
flash sale,Very Berry Strawberry Ice Cream.(small Scoop)
Pepsi Can 300 ml,Pepsi Can 300 ml
corn try karna hai,Corn & cheese Burger Combo
1) (for meals andhra,Andhra Non-veg Meals (For 1)
fruit ice cream (small scoop),Fruit Overload Ice Cream (Small Scoop)
kuch thali chahiye,Ghee Tadka Dal Khichdi Thali
extravaganza party for 2 (veg) @rs. 110,Extravaganza Party for 2 (Veg) @Rs. 110 off
bowl,Dal Tadka Dhaba Style [Paratha] Bowl
sesame try karna hai,Sesame Lotus Stem Pizza
thali,Dal Makhani - Everyday Thali
meetha panneer,Panneer Butter Masala
vegetarian bitter,Muthiya
spicy churma,Daal baati churma
